"","eventSec","y1","x1","is_goal","is_blocked","is_CA","body_part","foot","angle","distance","minute"
"1",95,16.81,12.6,1,0,0,"right","right",0.212278186261925,89.0744413398142,2
"2",180,27.04,15.75,0,0,0,"left","left",0.118806855229946,84.5369984089807,3
"3",255,27.04,4.2,1,0,0,"head/body","right",0.0417811499335291,96.052493981156,4
"4",426,10.89,19.95,0,0,0,"left","right",0.282452253290744,83.3191130533685,7
"5",815,9,26.25,0,0,0,"right","right",0.248685939156067,77.8720906358626,14
"6",1583,10.24,10.5,0,0,0,"left","left",0.364053995183281,92.6001490279578,26
"7",1606,12.96,28.35,0,0,0,"right","right",0.213261814512966,74.675324572445,27
"8",1711,29.16,6.3,1,0,0,"right","right",0.0525593511884911,93.8249199306879,29
"9",1969,33.64,8.4,0,0,1,"head/body","right",0.05167608840735,91.6007074208491,33
"10",2816,25,8.4,1,0,0,"right","right",0.0898937045478396,92.0410777859538,47
"11",232,40.96,30.45,0,0,0,"left","left",0.0857975544011708,69.8973826405539,4
"12",341,25,8.4,0,0,0,"head/body","left",0.0898937045478396,92.0410777859538,6
"13",594,34.81,26.25,0,0,0,"right","left",0.101457000427164,73.7544480014596,10
"14",634,29.16,8.4,1,0,0,"head/body","right",0.0676542026753077,91.7277798706586,11
"15",825,30.25,24.15,0,0,0,"right","right",0.118493579754727,75.9426428299674,14
"16",994,46.24,9.45,0,0,0,"right","right",0.0312331144593152,91.3735196870516,17
"17",1346,31.36,10.5,0,0,0,"head/body","right",0.0710269590718832,89.5389278470543,22
"18",1455,31.36,29.4,0,0,0,"left","left",0.116783207579907,70.6493425305572,24
"19",1734,10.89,8.4,0,0,0,"left","left",0.336539096727123,94.4702709851094,29
"20",1997,43.56,28.35,0,0,0,"right","right",0.0770559824258246,72.2849645500363,33
"21",2148,10.24,8.4,0,0,0,"head/body","right",0.362713539399483,94.6313774601215,36
"22",2231,39.69,6.3,1,0,0,"right","right",0.0287859234962263,93.8726056951654,37
"23",2355,11.56,10.5,0,0,0,"left","right",0.321870295546939,92.2702747367753,39
"24",2375,19.36,9.45,1,0,0,"head/body","left",0.152287354058566,91.7258529532432,40
"25",2997,33.64,28.35,0,0,0,"right","right",0.107556543465167,71.6509043906635,50
"26",535,8.41,21,0,0,0,"right","right",0.299208061088243,83.0412433673774,9
"27",794,34.81,11.55,0,0,0,"head/body","right",0.0634001379393421,88.4537087973139,13
"28",1996,31.36,8.4,0,0,0,"right","right",0.0590195687391929,91.6380357711796,33
"29",1998,17.64,7.35,0,0,0,"left","right",0.151759126335308,94.0833253026274,33
"30",2675,14.44,12.6,0,0,0,"head/body","right",0.254960132253954,89.5620098032642,45
"31",2698,16.81,24.15,0,0,0,"right","right",0.2044890359105,77.773508343137,45
"32",300,14.44,21,0,0,0,"right","right",0.237107628963623,81.3854630754166,5
"33",426,11.56,14.7,0,0,0,"right","right",0.309646412209906,88.2022879521841,7
"34",618,15.21,27.3,0,0,0,"right","right",0.204560767327599,75.0889745568549,10
"35",658,30.25,13.65,0,0,0,"right","right",0.0915804025866199,86.4313889741453,11
"36",662,43.56,29.4,0,0,0,"right","right",0.0781424881113185,71.2443232826307,11
"37",1455,30.25,11.55,1,0,1,"right","right",0.0815005473543506,88.529458374035,24
"38",179,6.76,8.4,0,0,0,"head/body","left",0.538779486514269,95.5645206130392,3
